PRODUCT_NUM                     ,DEPARTMENT                ,COMMODITY                 ,BRAND_TY,NATURAL_ORGANIC_FLAG
00072499                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00074380                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00074430                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00089638                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00091659                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092520                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092522                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092523                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092875                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092879                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092883                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092907                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093170                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093184                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093185                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093252                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093253                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093277                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093425                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093829                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00093833                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00094495                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00094498                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095021                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095023                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095031                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095397                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095418                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095507                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095512                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095619                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095646                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095778                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097179                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097181                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097230                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097355                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097589                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097601                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097821                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097872                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097921                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098120                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098136                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098183                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098296                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098407                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098548                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098623                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098625                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098761                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00098785                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00099943                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00099955                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100007                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100046                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100047                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100253                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100429                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100453                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100489                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100494                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100584                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100770                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100920                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
03670252                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
03670253                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
04122265                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
04122266                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
04747954                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
04805232                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06091568                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06097740                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06374984                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06379736                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06533144                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06543391                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06545412                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06547707                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06549529                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06710462                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06712997                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06722673                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
07007428                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
07009801                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
07042494                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
07044248                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
07044988                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
